NurseID,FirstName,Surname,Gender,Age,Mobile Number,Email Address,Type,Max Appointments Booked
1,Karl,Sam,M,50,(+44)7432878456,karl243@gmail.com,Cardiologist,3
2,Milit,Donda,M,37,(+44)7343747278,milit324@gmail.com,Neurologist,6
3,Shiv,Deshmukh,M,93,(+44)7347874378,shiv3457@gmail.com,Physician,1
4,Evelyn,Hearth,F,23,(+44)7345913644,eevee832@gmail.com,ENT,6
5,Bryant,Dechart,M,27,(+44)7752563743,bry3278@gmail.com,Physician,6
6,Scarlett,Reed,F,35,(+44)7483517494,scar1236@gmail.com,Dentist,6
7,Velvet,Crowe,F,52,(+44)7353467658,velvet2342@gmail.com,Cardiologist,3
8,Asa,Pereira,M,34,(+44)7453585745,AsaP8927@gmail.com,ENT,6
9,Eleanor,Hume,F,34,(+44)7054852045,Ella783@gmail.com,Neurologist,6
10,Julia,Torres,F,45,(+44)7387468383,Juliahulia@gmail.com,Surgeon,6
11,Tulio,Tulip,M,51,(+44)7646952840,TulioTulip@gmail.com,Dentist,3
12,Aubery,Sunshine,F,61,(+44)7764568479,aubery@gmail.com,Dermatologist,3
13,Mari,Sunny,F,24,(+44)7646749488,Mari328@gmail.com,Psychiatrist,6
14,Kel,Cooper,M,25,(+44)7647738838,kelcooop@gmail.com,Surgeon,6
